City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,whitehorse,60.7161,-135.0538,-0.5,58,0,2.06,CA,1713695050
1,mezdra,43.15,23.7,16.26,51,83,3.43,BG,1713695051
2,waitangi,-43.9535,-176.5597,12.68,93,100,1.34,NZ,1713695051
3,invercargill,-46.4,168.35,11.68,95,96,5.81,NZ,1713695051
4,ancud,-41.8697,-73.8203,6.08,88,55,3.44,CL,1713695051
5,umm kaddadah,13.6017,26.6876,39.28,7,100,7.5,SD,1713695052
6,revelstoke,50.9832,-118.2023,7.01,87,100,3.6,CA,1713695052
7,port-aux-francais,-49.35,70.2167,5.39,86,100,18.2,TF,1713695052
8,bethel,41.3712,-73.414,3.85,76,0,1.54,US,1713695052
9,bredasdorp,-34.5322,20.0403,24.35,57,48,1.01,ZA,1713695053
10,ad dilam,23.9915,47.1627,37.23,11,4,9.2,SA,1713695053
11,kiruna,67.8557,20.2251,-5.49,54,40,2.06,SE,1713695054
12,georgetown,5.4112,100.3354,32.96,65,20,4.63,MY,1713694980
13,ko pha ngan,9.7578,100.0291,29.38,68,99,3.89,TH,1713695055
14,al ghayzah,16.2079,52.176,30.88,61,57,6.38,YE,1713695055
15,edinburgh of the seven seas,-37.0676,-12.3116,14.1,63,97,1.67,SH,1713695056
16,iaciara,-14.0958,-46.6317,23.03,70,99,1.97,BR,1713695056
17,tiksi,71.6872,128.8694,-2.2,93,100,2.13,RU,1713695057
18,gisborne,-38.6533,178.0042,15.26,85,86,3.18,NZ,1713694725
19,babolsar,36.7025,52.6576,30.18,54,5,4.12,IR,1713695057
20,iqaluit,63.7506,-68.5145,-12.15,79,100,10.8,CA,1713694808
21,lebu,-37.6167,-73.65,9.74,77,86,5.35,CL,1713695057
22,thompson,55.7435,-97.8558,-8.91,53,40,2.57,CA,1713695058
23,box elder,41.5005,-112.8764,11.81,55,59,2.63,US,1713695058
24,lib,8.3122,167.3766,27.86,84,97,8.57,MH,1713695058
25,bilibino,68.0546,166.4372,-17.09,98,68,1.92,RU,1713695059
26,sao jose da coroa grande,-8.8978,-35.1478,26.34,85,98,2.7,BR,1713695059
27,anadyr,64.75,177.4833,-6.72,67,100,8.94,RU,1713695060
28,yellowknife,62.456,-114.3525,-1.71,91,20,3.6,CA,1713695061
29,iskateley,67.6803,53.1512,-9.99,93,100,9.39,RU,1713695062
30,mejit,10.2753,170.8646,27.36,85,12,8.34,MH,1713695062
31,grytviken,-54.2811,-36.5092,2.78,98,60,5.39,GS,1713695064
32,colonia,50.9333,6.95,9.42,67,75,5.14,DE,1713694802
33,nagqu,31.5,92.0,7.58,12,100,9.96,CN,1713695065
34,hawaiian paradise park,19.5933,-154.9731,20.73,95,100,2.06,US,1713695065
35,salalah,17.0151,54.0924,32.05,66,20,7.2,OM,1713695065
36,ust-nera,64.5667,143.2,-6.88,97,79,1.29,RU,1713695065
37,albany,42.6001,-73.9662,1.41,85,5,1.34,US,1713695066
38,qaqortoq,60.7167,-46.0333,0.55,63,100,2.69,GL,1713695066
39,gadhinglaj,16.2333,74.35,34.85,32,56,1.09,IN,1713695066
40,kribi,2.95,9.9167,25.99,86,100,1.47,CM,1713695066
41,isafjordur,66.0755,-23.124,5.02,87,75,14.4,IS,1713695067
42,muynoq,43.7683,59.0214,28.85,27,11,11.48,UZ,1713695067
43,port alfred,-33.5906,26.891,22.32,92,100,3.13,ZA,1713695067
44,shahecheng,36.9383,114.5058,24.81,34,33,3.92,CN,1713695067
45,ribeira grande,38.5167,-28.7,16.54,88,75,3.6,PT,1713695068
46,antsiranana,-12.2787,49.2917,29.66,70,45,5.68,MG,1713695068
47,ushuaia,-54.8,-68.3,4.81,70,0,7.2,AR,1713695069
48,blackwater,-23.5833,148.8833,18.72,69,20,3.91,AU,1713695069
49,bondo,3.8146,23.6866,33.3,41,84,2.04,CD,1713695069
50,monte maiz,-33.2046,-62.6008,16.08,87,100,1.52,AR,1713695070
51,limassol,34.675,33.0333,21.04,56,20,7.72,CY,1713695070
52,kosh-agach,50.0,88.6667,6.28,28,93,1.34,RU,1713695070
53,mao,39.8885,4.2658,16.31,44,0,10.8,ES,1713695070
54,gadzhiyevo,69.2551,33.3362,-2.63,63,100,6.9,RU,1713695071
55,hamilton,39.1834,-84.5333,4.92,71,0,4.02,US,1713694802
56,bull savanna,17.8868,-77.5902,22.09,82,0,2.09,JM,1713695071
57,aoulef,26.9667,1.0833,32.0,8,100,5.63,DZ,1713695071
58,puerto natales,-51.7236,-72.4875,3.89,87,70,4.13,CL,1713695072
59,port mathurin,-19.6833,63.4167,27.02,81,25,7.32,MU,1713695073
60,tejen,37.3834,60.5054,32.39,13,2,4.29,TM,1713695073
61,olonkinbyen,70.9221,-8.7187,1.85,98,100,10.47,SJ,1713695073
62,barra de santo antonio,-9.4047,-35.5072,25.6,81,98,1.77,BR,1713695074
63,severo-yeniseyskiy,60.3725,93.0408,-3.57,75,100,3.13,RU,1713695074
64,stanley,54.868,-1.6985,9.17,61,20,2.06,GB,1713695075
65,pisco,-13.7,-76.2167,21.03,83,0,1.03,PE,1713695075
66,moose jaw,50.4001,-105.5344,-4.86,74,5,3.09,CA,1713695076
67,dul'durga,50.6761,113.5931,3.71,83,100,3.08,RU,1713695077
68,saipan,15.1355,145.701,28.39,74,40,3.6,MP,1713694877
69,blackmans bay,-43.0167,147.3167,13.62,77,13,0.45,AU,1713695078
70,kenora,49.8167,-94.4337,-0.46,69,75,3.09,CA,1713695078
71,new norfolk,-42.7826,147.0587,14.28,90,8,1.5,AU,1713695079
72,buka,40.8108,69.1986,28.45,30,70,3.79,UZ,1713695081
73,kuanda,56.3161,116.0806,3.84,85,99,1.1,RU,1713695081
74,port lincoln,-34.7333,135.8667,14.1,74,0,2.91,AU,1713695086
75,huangmei,30.1924,116.025,15.18,90,100,2.88,CN,1713695053
76,balabac,7.9868,117.0645,29.14,75,26,5.92,PH,1713695086
77,amos,48.5669,-78.1162,-1.21,83,95,3.93,CA,1713695087
78,muroto-misakicho,33.2833,134.15,19.41,98,100,1.72,JP,1713695015
79,marsh harbour,26.5412,-77.0636,22.82,73,8,4.3,BS,1713695087
80,port saint john's,-31.6229,29.5448,24.32,81,95,3.29,ZA,1713695088
81,mae hong son,19.3003,97.9685,40.08,25,40,2.57,TH,1713694852
82,anatuya,-28.4606,-62.8347,22.3,70,98,4.69,AR,1713695089
83,rio grande,-32.035,-52.0986,15.06,85,78,2.05,BR,1713695089
84,sungai raya,0.7,108.9,27.49,84,100,0.53,ID,1713695090
85,puerto ayora,-0.7393,-90.3518,23.64,99,34,1.98,EC,1713695090
